序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1017,605166,聚合顺,11.81,0.77,0.09,101079.0,120235119.0,3.07,12.08,11.72,11.72,11.72,0.66,3.21,11.5,1.92,3716915784.0,3716915784.0,-0.08,0.08,-9.15,-1.34
1018,300767,震安科技,10.45,0.77,0.08,79866.0,83109100.02,2.22,10.51,10.28,10.38,10.37,1.38,3.33,-100.98,1.77,2887241243.0,2504838812.0,-0.1,0.1,1.46,15.85
1019,600737,中粮糖业,9.31,0.76,0.07,127836.0,118663184.0,1.19,9.32,9.21,9.23,9.24,0.95,0.6,28.13,1.71,19912677003.0,19912677003.0,0.0,0.0,-0.64,-8.81
1020,600223,福瑞达,7.99,0.76,0.06,325218.0,257941153.0,3.53,8.05,7.77,7.86,7.93,0.88,3.2,40.04,1.95,8122384512.0,8122384512.0,0.0,0.13,9.6,5.69
1021,688433,华曙高科,34.52,0.76,0.26,20163.0,69889137.0,3.04,35.17,34.13,34.76,34.26,0.7,1.0,2534.71,7.38,14297106976.0,6976641126.0,-0.26,-0.12,-22.62,48.22
1022,002925,盈趣科技,16.0,0.76,0.12,25013.0,40017997.84,1.26,16.09,15.89,15.94,15.88,0.81,0.34,40.58,2.63,12439068544.0,11778631856.0,0.0,0.13,-0.19,2.17
1023,002061,浙江交科,3.99,0.76,0.03,272505.0,108482148.6,1.77,4.02,3.95,3.95,3.96,0.69,1.05,12.04,0.7,10655500206.0,10370560221.0,0.25,0.0,2.05,-2.21
1024,301125,腾亚精工,13.18,0.76,0.1,40401.0,53249535.88,3.75,13.4,12.91,13.08,13.08,0.51,6.85,505.78,3.09,1868369386.0,777256496.0,0.0,0.0,6.2,18.74
1025,600039,四川路桥,9.33,0.76,0.07,95691.0,88888523.0,1.3,9.35,9.23,9.28,9.26,0.75,0.14,11.45,1.64,81264668395.0,62544956022.0,0.11,0.11,27.46,28.16
1026,688085,三友医疗,19.83,0.76,0.15,13650.0,27115212.0,2.59,20.1,19.59,19.64,19.68,0.7,0.55,107.43,2.71,5510467779.0,4926833599.0,0.2,0.41,7.54,-6.42
1027,000716,黑芝麻,6.65,0.76,0.05,752562.0,500983483.89,7.27,6.92,6.44,6.5,6.6,2.42,10.59,556.47,1.95,5010705508.0,4727206611.0,0.0,0.0,-9.89,-3.34
1028,300247,融捷健康,4.05,0.75,0.03,309918.0,124858951.0,4.98,4.15,3.95,4.08,4.02,1.33,3.86,26.27,2.97,3256363268.0,3253265018.0,0.0,0.0,6.02,13.13
1029,838810,春光智能,21.47,0.75,0.16,35859.0,76922530.08,4.69,21.97,20.97,20.99,21.31,0.74,8.04,123.41,6.37,1470695000.0,957064282.0,0.09,-0.32,40.79,148.5
1030,300593,新雷能,13.49,0.75,0.1,79916.0,108221869.02,2.91,13.75,13.36,13.39,13.39,0.94,1.77,-41.83,3.03,7318304347.0,6074054628.0,0.0,-0.07,-3.02,20.45
1031,600636,*ST国化,8.07,0.75,0.06,49421.0,39691145.0,2.25,8.13,7.95,8.02,8.01,0.62,1.13,-107.08,1.74,3539798992.0,3539798992.0,0.0,0.0,0.12,-13.04
1032,603719,良品铺子,13.49,0.75,0.1,186498.0,249481379.0,3.73,13.68,13.18,13.38,13.39,1.53,4.65,-37.41,2.57,5409490000.0,5409490000.0,-0.07,-0.07,-0.52,-5.07
1033,601199,江南水务,5.35,0.75,0.04,54320.0,29033677.0,1.32,5.38,5.31,5.31,5.31,1.04,0.58,13.14,1.12,5003375062.0,5003375062.0,0.0,0.0,1.9,-3.25
1034,688244,永信至诚,36.3,0.75,0.27,7766.0,27869934.0,2.8,36.37,35.36,36.23,36.03,0.65,1.57,-38.7,3.7,3711101279.0,1796304847.0,0.11,0.47,-34.1,41.8
1035,002358,森源电气,5.34,0.75,0.04,236621.0,126212172.82,2.08,5.39,5.28,5.33,5.3,1.11,2.54,29.46,1.52,4964902257.0,4964895449.0,0.19,0.19,-4.3,16.09
1036,300953,震裕科技,143.5,0.74,1.05,54245.0,766133184.04,6.38,145.0,135.91,142.45,142.45,1.21,6.04,61.38,4.63,17890057035.0,12895832992.0,0.08,0.01,-3.03,106.06
1037,872351,华光源海,31.23,0.74,0.23,96578.0,311084263.37,9.13,33.33,30.5,30.5,31.0,1.33,27.39,64.52,5.99,2749346760.0,1101183510.0,-0.06,-0.7,135.7,203.2
1038,603566,普莱柯,14.94,0.74,0.11,99791.0,147909749.0,3.24,15.06,14.58,14.67,14.83,0.94,2.88,24.43,1.93,5170170359.0,5170170359.0,0.07,0.07,23.98,17.08
1039,600754,锦江酒店,23.12,0.74,0.17,48822.0,112701709.0,1.48,23.22,22.88,22.93,22.95,0.77,0.54,171.74,1.6,24739418737.0,20993187108.0,0.0,0.04,-13.44,-13.92
1040,002057,中钢天源,8.14,0.74,0.06,141235.0,114981750.33,1.98,8.23,8.07,8.08,8.08,1.08,1.87,23.4,1.95,6174049797.0,6135884674.0,-0.12,0.0,-3.1,12.74
1041,000425,徐工机械,8.14,0.74,0.06,452427.0,368019020.22,1.11,8.17,8.08,8.1,8.08,0.82,0.56,11.83,1.56,95723558432.0,65913309390.0,-0.12,-0.12,-8.44,2.65
1042,688210,统联精密,17.7,0.74,0.13,12007.0,21199005.0,1.71,17.83,17.53,17.72,17.57,0.5,1.12,258.53,2.23,2836271169.0,1900737829.0,0.0,0.28,-23.31,-11.32
1043,601677,明泰铝业,12.18,0.74,0.09,138059.0,168387605.0,1.74,12.27,12.06,12.06,12.09,1.23,1.13,8.61,0.86,15148315049.0,14835320717.0,0.0,0.0,-2.56,1.67
1044,000042,中洲控股,6.81,0.74,0.05,87398.0,60170675.0,3.7,7.03,6.78,6.78,6.76,1.58,1.32,8.16,1.3,4527500057.0,4522733486.0,-0.29,-0.15,-4.89,52.35
1045,601921,浙版传媒,8.15,0.74,0.06,89453.0,72594588.0,1.11,8.16,8.07,8.08,8.09,1.06,0.4,28.06,1.31,18111111117.0,18111111117.0,0.0,0.0,-2.04,3.43
1046,688399,硕世生物,69.55,0.74,0.51,2830.0,19675879.0,2.38,70.29,68.65,68.84,69.04,0.94,0.5,76.86,1.21,3941404203.0,3941404203.0,0.58,-0.26,1.36,5.83
1047,300577,开润股份,20.46,0.74,0.15,13963.0,28522963.0,2.07,20.65,20.23,20.31,20.31,0.67,1.0,14.37,2.34,4906157967.0,2869357990.0,0.1,0.05,-10.77,-17.67
1048,300445,康斯特,16.32,0.74,0.12,19119.0,31142269.0,2.04,16.5,16.17,16.28,16.2,0.8,1.35,39.07,2.89,3466857812.0,2318496606.0,0.06,0.25,-12.54,0.87
1049,836414,欧普泰,13.85,0.73,0.1,21257.0,29564116.33,6.76,14.34,13.41,14.08,13.75,0.92,3.85,-139.23,3.84,1104512168.0,765570329.0,1.54,1.76,-2.94,26.95
1050,688029,南微医学,65.92,0.73,0.48,13931.0,91981689.0,2.32,66.74,65.22,65.41,65.44,0.92,0.74,19.24,3.1,12382902058.0,12382902058.0,0.06,0.18,-6.79,-2.47
1051,688720,艾森股份,41.2,0.73,0.3,19826.0,81442545.0,2.74,41.64,40.52,41.05,40.9,0.88,3.59,120.02,3.7,3631093361.0,2277645427.0,0.12,-0.24,-7.12,4.15
1052,002576,通达动力,16.47,0.73,0.12,101777.0,169093168.15,3.79,16.96,16.34,16.51,16.35,0.93,6.29,35.79,2.13,2719197000.0,2666538638.0,-0.12,-0.18,1.92,-3.91
1053,601088,中国神华,39.81,0.73,0.29,148282.0,590798344.0,2.1,40.13,39.3,39.53,39.52,0.67,0.09,16.55,1.83,790965779409.0,656508220989.0,-0.1,-0.08,11.39,-8.44
1054,300902,国安达,18.2,0.72,0.13,36429.0,66190028.2,2.1,18.35,17.97,18.14,18.07,0.96,3.0,307.47,4.03,3308821316.0,2212815041.0,0.0,0.11,1.62,-20.45
1055,600508,上海能源,11.28,0.71,0.08,19899.0,22412739.0,1.07,11.31,11.19,11.21,11.2,0.71,0.28,19.48,0.63,8152259040.0,8152259040.0,0.0,0.0,-6.23,-14.74
1056,601000,唐山港,4.23,0.71,0.03,373130.0,156822068.0,1.67,4.24,4.17,4.19,4.2,0.69,0.63,16.43,1.26,25066678037.0,25066678037.0,0.0,0.0,3.42,-10.19
1057,600988,赤峰黄金,26.91,0.71,0.19,306919.0,822522450.0,1.83,27.07,26.58,26.66,26.72,0.37,1.84,26.45,4.69,51140064800.0,44775855182.0,0.0,-0.07,43.37,72.39
1058,601369,陕鼓动力,8.55,0.71,0.06,69209.0,59215539.0,1.77,8.61,8.46,8.49,8.49,1.17,0.41,14.89,1.62,14753871732.0,14461189842.0,0.0,0.0,4.65,-1.72
1059,688443,智翔金泰-U,26.95,0.71,0.19,25724.0,69317117.0,4.3,27.48,26.33,26.5,26.76,0.58,2.26,-20.46,4.94,9882026000.0,3073380291.0,-0.07,0.37,3.18,7.41
1060,601928,凤凰传媒,11.59,0.7,0.08,91516.0,105132180.0,2.43,11.6,11.32,11.51,11.51,1.32,0.36,14.55,1.46,29495391000.0,29495391000.0,0.26,0.09,9.44,0.43
1061,603377,ST东时,2.89,0.7,0.02,60071.0,17318371.0,3.48,2.93,2.83,2.86,2.87,0.83,0.84,-10.76,2.39,2065966974.0,2065966974.0,0.0,0.0,25.11,20.42
1062,300822,贝仕达克,20.02,0.7,0.14,112129.0,224396738.78,6.74,20.66,19.32,19.79,19.88,1.21,3.88,147.39,4.89,6236954724.0,5785420401.0,0.35,0.45,-11.38,-3.05
1063,600995,南网储能,10.03,0.7,0.07,106256.0,106438541.0,1.51,10.1,9.95,9.96,9.96,1.28,0.96,21.43,1.49,32055938224.0,11124289479.0,0.0,0.2,2.77,-0.2
1064,300177,中海达,10.03,0.7,0.07,320092.0,327349809.0,5.82,10.6,10.02,10.1,9.96,1.04,5.28,-75.57,4.88,7464015732.0,6081221608.0,0.0,0.0,-17.38,-8.07
1065,300009,安科生物,8.74,0.69,0.06,174460.0,151853587.65,2.07,8.79,8.61,8.64,8.68,0.6,1.43,17.49,3.81,14617835795.0,10677659818.0,-0.11,-0.11,1.04,4.17
1066,300559,佳发教育,11.7,0.69,0.08,67135.0,78000403.18,2.84,11.8,11.47,11.62,11.62,0.96,2.16,-116.41,4.08,4674320434.0,3640300946.0,0.0,0.17,-9.44,-2.17
1067,601838,成都银行,19.05,0.69,0.13,180674.0,344620379.0,2.11,19.25,18.85,18.9,18.92,1.05,0.43,6.7,0.98,80742193532.0,80601658672.0,0.0,0.05,18.47,11.34
1068,300529,健帆生物,21.8,0.69,0.15,64661.0,141215096.3,2.31,22.1,21.6,21.67,21.65,0.95,1.26,23.05,6.23,17409594995.0,11171784960.0,0.0,-0.05,-14.41,-23.62
1069,000803,山高环能,5.81,0.69,0.04,175383.0,102190719.12,4.85,6.02,5.74,5.75,5.77,1.86,3.81,24.2,1.88,2736442075.0,2671367002.0,-0.17,0.0,13.48,13.26
1070,688267,中触媒,26.41,0.69,0.18,14918.0,39218698.0,2.82,26.61,25.87,26.0,26.23,0.48,1.61,28.57,1.68,4653442000.0,2451037069.0,0.27,0.34,2.72,12.38
1071,001389,广合科技,48.29,0.69,0.33,10842.0,52348994.0,1.33,48.65,48.01,48.08,47.96,0.57,0.72,21.36,6.57,20534598150.0,7255214188.0,-0.21,-0.17,-22.38,-4.0
1072,300908,仲景食品,30.5,0.69,0.21,22933.0,69897248.92,2.28,30.75,30.06,30.2,30.29,1.08,1.86,22.99,2.69,4453000000.0,3769237245.0,0.1,0.0,0.89,1.87
1073,600456,宝钛股份,29.23,0.69,0.2,62043.0,181828469.0,2.82,29.78,28.96,29.0,29.03,1.19,1.3,43.02,1.98,13965437465.0,13965437465.0,0.03,0.0,3.58,2.74
1074,603209,兴通股份,14.66,0.69,0.1,17600.0,25640667.0,1.44,14.67,14.46,14.55,14.56,0.56,0.63,13.91,1.6,4104800000.0,4104800000.0,0.0,0.27,-6.86,-7.1
1075,002364,中恒电气,16.02,0.69,0.11,389251.0,631904965.5,5.22,16.75,15.92,16.2,15.91,0.76,6.97,111.23,3.68,9028310659.0,8940822235.0,0.06,0.13,-2.91,48.47
1076,603067,振华股份,21.98,0.69,0.15,61700.0,134690188.0,2.06,22.05,21.6,21.83,21.83,0.46,1.21,23.83,3.42,11188343168.0,11188343168.0,0.14,0.05,32.33,74.03
1077,300255,常山药业,31.92,0.69,0.22,443693.0,1416998312.0,3.97,32.66,31.4,31.4,31.7,0.96,4.84,1938.9,18.73,29336423226.0,29241199673.0,0.25,0.38,57.86,59.68
1078,600106,重庆路桥,5.94,0.68,0.04,249133.0,147730814.0,2.71,6.01,5.85,5.86,5.9,0.92,1.87,35.62,1.52,7894408868.0,7894408868.0,-0.17,-0.17,-2.14,6.26
1079,688655,迅捷兴,20.74,0.68,0.14,42308.0,88769178.0,4.51,21.43,20.5,20.5,20.6,0.68,3.17,-142.47,4.09,2766508600.0,2766508600.0,0.05,-0.19,30.85,92.39
1080,603992,松霖科技,23.54,0.68,0.16,15467.0,36116272.0,2.05,23.66,23.18,23.3,23.38,1.03,0.36,56.05,3.21,10190354962.0,9998645202.0,0.04,0.09,6.04,27.45
1081,000060,中金岭南,4.45,0.68,0.03,251297.0,111561646.89,1.13,4.46,4.41,4.42,4.42,0.82,0.67,15.23,1.19,16632305800.0,16631047981.0,-0.22,0.0,-3.05,-5.12
1082,600874,创业环保,5.88,0.68,0.04,98137.0,57827840.0,2.57,5.98,5.83,5.84,5.84,1.77,0.8,9.06,0.93,9234058340.0,7234858340.0,0.0,0.0,1.2,-1.51
1083,300941,创识科技,22.1,0.68,0.15,52525.0,116356467.0,3.78,22.5,21.67,21.9,21.95,1.15,4.42,373.1,3.58,4524975000.0,2627791174.0,-0.09,0.05,-17.17,-27.06
1084,601608,中信重工,4.43,0.68,0.03,597601.0,265115689.0,2.27,4.49,4.39,4.41,4.4,0.95,1.31,55.78,2.22,20287421726.0,20159015930.0,0.0,0.0,-0.67,5.48
1085,600901,江苏金租,5.88,0.68,0.04,303127.0,177662999.0,1.71,5.9,5.8,5.83,5.84,0.95,0.52,11.03,1.37,34059193006.0,34044896774.0,-0.17,0.0,18.07,12.64
1086,601033,永兴股份,16.2,0.68,0.11,46706.0,75367281.0,1.8,16.25,15.96,16.15,16.09,0.9,1.95,18.54,1.44,14580000000.0,3888000000.0,0.0,0.0,17.9,16.88
1087,603307,扬州金泉,36.88,0.68,0.25,10619.0,39240063.0,1.53,37.18,36.62,36.75,36.63,1.62,6.25,20.37,1.77,2503303760.0,626960000.0,-0.08,-0.03,2.19,3.02
1088,603444,吉比特,236.0,0.68,1.6,5633.0,132738712.0,1.61,237.57,233.8,235.33,234.4,0.9,0.78,15.0,3.45,17001699836.0,17001699836.0,0.06,0.2,7.84,9.59
1089,603558,健盛集团,9.01,0.67,0.06,34245.0,30811227.0,1.68,9.06,8.91,8.91,8.95,1.08,0.97,13.23,1.32,3182180172.0,3182180172.0,0.11,0.33,-9.9,-13.86
1090,601997,贵阳银行,6.04,0.67,0.04,413672.0,248411904.0,1.67,6.05,5.95,6.01,6.0,0.97,1.13,3.83,0.36,22083436379.0,22083436379.0,0.0,0.17,4.32,0.67
1091,002693,*ST双成,9.05,0.67,0.06,518930.0,471527872.37,9.23,9.44,8.61,9.44,8.99,1.53,12.62,-93.45,9.79,3752942238.0,3721650469.0,-0.22,0.0,-36.93,-50.63
1092,601965,中国汽研,18.0,0.67,0.12,45492.0,82464741.0,2.13,18.25,17.87,17.88,17.88,1.15,0.46,25.35,2.49,18059142366.0,17886275406.0,0.0,-0.06,-5.76,2.74
1093,600785,新华百货,12.07,0.67,0.08,49059.0,59150216.0,2.17,12.19,11.93,11.99,11.99,0.83,2.17,8.51,1.17,2723369550.0,2723369550.0,0.08,0.08,-2.97,-7.65
1094,601717,郑煤机,16.56,0.67,0.11,160853.0,265901270.0,1.4,16.63,16.4,16.5,16.45,0.53,1.04,6.79,1.32,29566222841.0,25538264489.0,0.18,0.06,21.41,27.58
1095,003041,真爱美家,30.0,0.67,0.2,9555.0,28527726.48,1.81,30.1,29.56,29.89,29.8,0.75,0.7,5.2,2.78,4320000000.0,4104702000.0,-0.03,0.0,17.19,11.86
1096,000948,南天信息,18.09,0.67,0.12,131177.0,238136050.0,2.78,18.45,17.95,18.02,17.97,0.77,3.37,-59.18,2.64,7120546454.0,7037666613.0,0.06,0.11,-11.15,8.13
1097,002831,裕同科技,24.07,0.67,0.16,41503.0,100328981.13,2.01,24.39,23.91,23.91,23.91,0.65,0.8,23.23,2.01,22397461221.0,12540308057.0,-0.04,0.08,-1.63,-11.18
1098,002443,金洲管道,6.02,0.67,0.04,82867.0,49782922.0,1.34,6.06,5.98,6.05,5.98,0.9,1.6,29.84,0.92,3133623830.0,3126947963.0,0.17,0.17,3.97,5.99
1099,002330,得利斯,4.57,0.66,0.03,81425.0,37046043.88,1.54,4.58,4.51,4.53,4.54,0.75,1.28,74.38,1.27,2903390875.0,2902766728.0,0.0,0.0,2.93,4.58
1100,002211,ST宏达,3.05,0.66,0.02,206111.0,62340777.52,5.61,3.11,2.94,3.1,3.03,1.04,4.77,-100.56,62.98,1319051126.0,1319051126.0,0.0,0.66,-29.56,-13.84
1101,688106,金宏气体,18.35,0.66,0.12,45815.0,83328124.0,2.52,18.45,17.99,18.28,18.23,0.88,0.95,50.25,3.05,8844285125.0,8844285125.0,0.11,0.16,0.33,8.52
1102,301077,星华新材,19.93,0.66,0.13,43832.0,88528985.42,4.55,20.77,19.87,19.9,19.8,1.35,4.61,24.48,3.02,3381886723.0,1895061947.0,-0.1,0.1,8.79,12.22
1103,688281,华秦科技,76.76,0.66,0.5,8815.0,67729962.0,2.03,77.47,75.92,76.47,76.26,0.86,0.72,59.63,3.31,14944660702.0,9340413102.0,0.0,-0.22,-11.36,-17.44
1104,688382,益方生物-U,24.25,0.66,0.16,56685.0,136060645.0,3.49,24.42,23.58,24.09,24.09,0.56,1.41,-60.98,7.92,14024450217.0,9731475627.0,-0.08,0.17,42.4,82.33
1105,871478,巨能股份,28.04,0.65,0.18,17787.0,50593429.64,4.16,29.08,27.92,28.15,27.86,0.84,7.73,294.3,8.0,2144473880.0,644920000.0,-0.11,-0.18,-20.99,6.49
1106,688733,壹石通,17.14,0.65,0.11,22755.0,38978641.0,2.35,17.28,16.88,16.94,17.03,1.4,1.14,-50.95,1.57,3424146757.0,3424146757.0,0.0,0.0,-16.02,-9.31
1107,600568,ST中珠,1.55,0.65,0.01,312781.0,48168527.0,4.55,1.58,1.51,1.53,1.54,1.41,1.87,-43.43,1.78,3088948006.0,2587054282.0,0.65,0.65,17.42,19.23
1108,832149,利尔达,15.37,0.65,0.1,80441.0,124279118.48,2.42,15.63,15.26,15.27,15.27,0.73,6.97,545.21,9.27,6480453100.0,1773862859.0,0.0,0.07,12.77,73.28
1109,836433,大唐药业,7.8,0.65,0.05,86826.0,66836196.64,3.35,7.85,7.59,7.61,7.75,0.83,5.13,387.19,4.3,1996173512.0,1320972292.0,0.0,-0.13,14.54,27.66
1110,600029,南方航空,6.24,0.65,0.04,427404.0,266159637.0,2.26,6.28,6.14,6.19,6.2,0.7,0.34,-37.84,3.33,113074515085.0,79081686172.0,0.0,-0.16,5.76,-3.85
1111,603080,新疆火炬,17.11,0.65,0.11,25259.0,43127179.0,1.65,17.18,16.9,16.99,17.0,0.95,1.79,13.31,1.62,2421065000.0,2421065000.0,0.06,0.0,8.98,6.41
1112,300527,中船应急,7.81,0.64,0.05,153376.0,119540677.65,1.8,7.86,7.72,7.74,7.76,1.29,1.55,-77.98,2.97,7707084217.0,7707084217.0,0.0,0.13,-2.13,-3.22
1113,832491,奥迪威,29.85,0.64,0.19,38355.0,115511782.96,3.34,30.65,29.66,29.83,29.66,0.64,3.36,45.78,4.26,4213123923.0,3406242513.0,0.24,0.27,-17.99,38.84
1114,001219,青岛食品,14.09,0.64,0.09,42265.0,59393353.42,1.5,14.15,13.94,14.0,14.0,1.01,2.23,23.09,2.6,2747321038.0,2675993146.0,-0.07,0.21,6.5,2.62
1115,002910,庄园牧场,9.4,0.64,0.06,110917.0,104601821.33,3.75,9.56,9.21,9.27,9.34,1.52,6.48,-17.71,1.72,1838069862.0,1607982330.0,0.11,-0.11,-28.52,24.83
1116,605169,洪通燃气,10.93,0.64,0.07,67731.0,74272662.0,2.12,11.07,10.84,10.86,10.86,0.99,2.39,34.3,1.59,3091878400.0,3091878400.0,0.28,0.0,10.07,7.47
1117,600489,中金黄金,14.16,0.64,0.09,329078.0,464638506.0,1.35,14.19,14.0,14.0,14.07,0.49,0.68,16.52,2.41,68637945906.0,68637945906.0,0.07,0.14,15.03,17.71
1118,688566,吉贝尔,25.58,0.63,0.16,14640.0,37103451.0,1.89,25.58,25.1,25.42,25.42,0.67,0.73,25.75,2.22,5101441527.0,5101441527.0,0.04,0.24,8.57,14.2
1119,300433,蓝思科技,20.65,0.63,0.13,233161.0,482071467.74,1.95,20.89,20.49,20.7,20.52,0.68,0.47,59.98,2.1,102894245331.0,102541629421.0,0.15,0.1,-28.1,-5.71
1120,601916,浙商银行,3.22,0.63,0.02,2048622.0,655138089.0,2.19,3.23,3.16,3.19,3.2,1.1,0.95,3.72,0.5,88436127801.0,69373083801.0,0.31,0.31,12.2,10.65
1121,001296,长江材料,17.45,0.63,0.11,14557.0,25369821.45,1.27,17.54,17.32,17.41,17.34,1.15,1.89,19.65,1.51,2610364451.0,1341055866.0,0.0,0.06,-4.54,1.93
1122,000807,云铝股份,14.39,0.63,0.09,303831.0,437657385.4,1.61,14.56,14.33,14.45,14.3,0.82,0.88,12.8,1.7,49903907058.0,49903360180.0,-0.07,0.0,-9.78,6.36
1123,601133,柏诚股份,11.15,0.63,0.07,45292.0,50888241.0,3.43,11.44,11.06,11.12,11.08,1.14,3.07,33.25,2.07,5878467989.0,1644625000.0,-0.18,-0.09,-9.13,-0.62
1124,002276,万马股份,14.35,0.63,0.09,664416.0,959336691.85,3.79,14.67,14.13,14.15,14.26,1.04,6.61,44.47,2.53,14555059147.0,14422945872.0,0.0,0.07,10.22,70.63
1125,600073,光明肉业,8.03,0.63,0.05,107460.0,85467527.0,2.88,8.07,7.84,7.98,7.98,1.01,1.15,11.36,1.49,7529967660.0,7529967660.0,0.12,0.12,24.11,15.71
1126,603071,物产环能,12.75,0.63,0.08,15160.0,19283575.0,1.1,12.78,12.64,12.69,12.67,1.19,0.27,11.51,1.33,7113919136.0,7113919136.0,0.08,0.0,0.63,-1.32
1127,600869,远东股份,4.76,0.63,0.03,369815.0,176395698.0,2.54,4.84,4.72,4.76,4.73,1.43,1.67,57.5,2.45,10564119071.0,10564119071.0,-0.21,0.0,-1.45,0.21
1128,688063,派能科技,42.8,0.63,0.27,29791.0,128143227.0,2.89,43.58,42.35,42.9,42.53,0.73,1.21,-68.77,1.16,10501375857.0,10501375857.0,-0.02,-0.23,-5.83,6.87
1129,688332,中科蓝讯,93.0,0.63,0.58,21804.0,205761903.0,5.52,96.6,91.5,91.5,92.42,1.13,4.95,62.31,2.85,11188388250.0,4093990293.0,-0.37,0.0,-23.19,-28.19
1130,000768,中航西飞,24.46,0.62,0.15,180424.0,444209601.0,2.92,24.96,24.25,24.31,24.31,1.07,0.65,58.9,3.18,68026906277.0,67820874462.0,0.04,0.04,-0.12,-13.39
1131,001288,运机集团,19.62,0.62,0.12,23596.0,46388337.84,3.23,19.97,19.34,19.58,19.5,0.94,1.57,29.64,2.19,4609960679.0,2951178460.0,0.05,-0.1,-10.98,-9.33
1132,603529,爱玛科技,37.32,0.62,0.23,80655.0,297556785.0,3.02,37.48,36.36,37.07,37.09,1.36,0.96,13.3,3.49,32159241195.0,31452057051.0,0.0,0.03,-4.55,-9.02
1133,603833,欧派家居,61.66,0.62,0.38,10722.0,65900408.0,1.09,61.74,61.07,61.27,61.28,0.71,0.18,30.49,1.98,37560344876.0,37560344876.0,0.1,0.13,-5.41,-10.56
1134,603686,福龙马,14.71,0.62,0.09,1168817.0,1803221892.0,9.44,16.08,14.7,15.45,14.62,2.68,28.14,24.06,1.79,6110981243.0,6110981243.0,-0.14,-0.34,22.69,41.44
1135,002947,恒铭达,30.74,0.62,0.19,28401.0,87226055.36,1.7,31.0,30.48,30.78,30.55,0.78,1.48,18.2,2.53,7875874989.0,5914548421.0,0.1,0.16,-17.37,-6.08
1136,301578,辰奕智能,45.22,0.62,0.28,16548.0,75324966.49,6.03,46.98,44.27,44.94,44.94,2.74,9.28,87.08,2.99,2821728000.0,805956060.0,-0.13,-0.46,-15.18,-7.43
1137,003013,地铁设计,14.87,0.61,0.09,12540.0,18603326.2,0.95,14.9,14.76,14.76,14.78,0.45,0.31,27.51,2.16,6071820973.0,5946476940.0,0.0,-0.07,-5.04,-1.65
1138,002357,富临运业,8.29,0.61,0.05,73952.0,61368718.3,2.06,8.39,8.22,8.25,8.24,0.71,2.36,9.82,1.58,2598824108.0,2598730846.0,0.36,0.24,-6.75,17.59
1139,603312,西典新能,36.45,0.61,0.22,7041.0,25704565.0,1.52,36.8,36.25,36.25,36.23,0.88,1.34,20.5,3.6,5890320000.0,1914354000.0,0.0,0.0,-0.25,12.92
1140,301039,中集车辆,8.28,0.61,0.05,81483.0,67738238.78,1.58,8.38,8.25,8.25,8.23,1.0,0.56,21.73,1.06,15517750198.0,12036470400.0,0.12,0.12,-6.55,-8.51
1141,000603,盛达资源,13.27,0.61,0.08,67169.0,89085970.52,1.36,13.33,13.15,13.17,13.19,0.52,1.01,276.31,3.02,9155893221.0,8847326084.0,-0.08,-0.15,-0.38,10.68
1142,000528,柳    工,9.85,0.61,0.06,170849.0,167855047.9,0.82,9.86,9.78,9.81,9.79,0.79,0.85,7.57,1.11,19889523003.0,19881630306.0,0.0,0.0,-17.64,-18.33
1143,603967,中创物流,11.54,0.61,0.07,110868.0,128181696.0,2.44,11.68,11.4,11.48,11.47,1.18,3.2,14.47,1.8,4000533833.0,4000533833.0,0.09,0.35,20.96,25.3
1144,688008,澜起科技,76.3,0.61,0.46,80499.0,614497387.0,1.89,77.1,75.67,75.81,75.84,0.66,0.7,41.57,7.58,87347421530.0,87347421530.0,-0.07,-0.04,-8.82,12.37
1145,002132,恒星科技,3.28,0.61,0.02,364279.0,119257463.29,3.68,3.34,3.22,3.25,3.26,0.93,2.6,202.69,1.31,4597066609.0,4590301472.0,-0.3,-0.3,8.61,19.71
1146,002029,七 匹 狼,6.69,0.6,0.04,63273.0,42173284.8,1.65,6.72,6.61,6.64,6.65,0.77,0.95,7.89,0.7,4716607463.0,4451565866.0,0.15,0.0,5.85,2.29
1147,300465,高伟达,13.38,0.6,0.08,98789.0,131944666.45,2.86,13.54,13.16,13.3,13.3,1.06,2.23,-140.85,9.28,5937366397.0,5937366397.0,-0.07,-0.07,-28.6,-27.12
1148,603556,海兴电力,26.98,0.6,0.16,62462.0,168340212.0,3.21,27.38,26.52,26.83,26.82,1.42,1.28,23.27,1.81,13119407307.0,13119407307.0,-0.04,-0.04,-15.58,-27.06
1149,002547,春兴精工,5.07,0.6,0.03,1253319.0,635433368.8,5.36,5.19,4.92,4.95,5.04,1.23,11.34,-30.8,2733.43,5719249842.0,5601372332.0,0.0,0.2,-9.14,23.96
1150,600694,大商股份,23.64,0.6,0.14,24671.0,58208511.0,1.23,23.77,23.48,23.6,23.5,0.75,0.79,7.05,0.83,7473846778.0,7400562778.0,0.08,0.08,-4.1,-10.35
1151,603218,日月股份,11.72,0.6,0.07,43352.0,50758352.0,1.46,11.78,11.61,11.71,11.65,0.6,0.42,25.0,1.18,12078224730.0,12048584850.0,0.0,0.17,-11.41,-2.74
